States/UTs,Crimes,Year,Persons_arrested_male,Persons_arrested_female,Persons_arrested_total
Himachal Pradesh,Voyeurism (Section 354C IPC),2014,3,0,3
Himachal Pradesh,Stalking (Section 354D IPC),2014,73,1,74
Himachal Pradesh,Others,2014,359,30,389
Himachal Pradesh,Insult to the Modesty of Women (Section 509 IPC),2014,54,5,59
Himachal Pradesh,At Office premises,2014,0,0,0
Himachal Pradesh,Places related to work other than Office,2014,0,0,0
Himachal Pradesh,In Public Transport system,2014,0,0,0
Himachal Pradesh,In Other Places,2014,54,5,59
Himachal Pradesh,Cruelty by Husband or his Relatives (Section 498-A IPC),2014,456,223,679
Himachal Pradesh,Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Himachal Pradesh,Causing Death by Negligence (Section 304-A IPC),2014,481,4,485
Himachal Pradesh,Deaths due to negligent driving/act,2014,435,2,437
Himachal Pradesh,Deaths due to Other Causes,2014,46,2,48
Himachal Pradesh,"Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,2,0,2
Himachal Pradesh,Sedition (Section 124A IPC),2014,2,0,2
Himachal Pradesh,Other offences against State,2014,0,0,0
Himachal Pradesh,Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,0,0,0
Himachal Pradesh,Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,0,0,0
Himachal Pradesh,Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0
Himachal Pradesh,Extortion (Section 384 - 389 IPC),2014,5,1,6
Himachal Pradesh,Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0
Himachal Pradesh,Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,2052,9,2061
Himachal Pradesh,Human Trafficking (Section 370 & 370A IPC),2014,1,0,1
Himachal Pradesh,Unnatural Offences U/s 377 IPC,2014,15,0,15
Himachal Pradesh,Other IPC crimes,2014,7713,1199,8912
Himachal Pradesh,Total Cognizable IPC crimes,2014,17081,2274,19355
Jammu & Kashmir,Murder (Section 302 IPC),2014,256,22,278
Jammu & Kashmir,Attempt to commit Murder (Section 307 IPC),2014,1076,31,1107
Jammu & Kashmir,Culpable Homicide not amounting to Murder (Section 304 IPC),2014,23,0,23
Jammu & Kashmir,Attempt to commit Culpable Homicide (Section 308 IPC),2014,0,0,0
Jammu & Kashmir,Rape (Section 376 IPC),2014,339,7,346
Jammu & Kashmir,Custodial Rape,2014,0,0,0
Jammu & Kashmir,Gang Rape,2014,0,0,0
Jammu & Kashmir,Other Rape,2014,0,0,0
Jammu & Kashmir,Rape other than Custodial,2014,339,7,346
Jammu & Kashmir,Other Rape,2014,339,7,346
Jammu & Kashmir,Attempt to commit Rape (Section 376/511 IPC),2014,17,0,17
Jammu & Kashmir,"Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,750,22,772
Jammu & Kashmir,Kidnapping & Abduction (Section 363 IPC),2014,245,7,252
Jammu & Kashmir,Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,12,0,12
Jammu & Kashmir,Kidnapping for Ransom (Section 364A IPC),2014,0,0,0
Jammu & Kashmir,Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,200,1,201
Jammu & Kashmir,Other Kidnapping,2014,293,14,307
Jammu & Kashmir,"Dacoity (Section 395,396-398 IPC)",2014,21,5,26
Jammu & Kashmir,Dacoity with Murder (Section 396 IPC),2014,0,0,0
Jammu & Kashmir,Other Dacoity,2014,21,5,26
Jammu & Kashmir,Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,0,0,0
Jammu & Kashmir,"Robbery (Section 392 to 394, 397 and 398 IPC)",2014,101,0,101
Jammu & Kashmir,Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,857,1,858
Jammu & Kashmir,"Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,322,0,322
Jammu & Kashmir,"House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,535,1,536
Jammu & Kashmir,Theft (Section 379 to 382 IPC),2014,1865,10,1875
Jammu & Kashmir,Auto Theft,2014,260,0,260
Jammu & Kashmir,Other Thefts,2014,1605,10,1615
Jammu & Kashmir,"Unlawful Assembly (Section 143,144 & 145)",2014,0,0,0
Jammu & Kashmir,"Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,5022,486,5508
Jammu & Kashmir,Communal,2014,0,0,0
Jammu & Kashmir,Industrial,2014,0,0,0
Jammu & Kashmir,Political,2014,153,0,153
Jammu & Kashmir,Caste Conflict,2014,0,0,0
Jammu & Kashmir,SC/STs Vs. Non-SCs/STs,2014,0,0,0
Jammu & Kashmir,Other Caste Riots,2014,0,0,0
Jammu & Kashmir,Agrarian,2014,0,0,0
Jammu & Kashmir,Students,2014,0,0,0
Jammu & Kashmir,Sectarian,2014,0,0,0
Jammu & Kashmir,Other Riots,2014,4869,486,5355
Jammu & Kashmir,Criminal Breach of Trust (Section 406 to 409 IPC),2014,148,1,149
Jammu & Kashmir,Cheating (Section 420 IPC),2014,546,18,564
Jammu & Kashmir,"Forgery (Section 465, 468 & 471 IPC)",2014,15,1,16
Jammu & Kashmir,"Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,25,1,26
Jammu & Kashmir,"Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,0,0,0
Jammu & Kashmir,Counterfeiting Government Stamp (Section 255 IPC),2014,0,0,0
Jammu & Kashmir,Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,25,1,26
Jammu & Kashmir,Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,10,0,10
Jammu & Kashmir,Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,14,1,15
Jammu & Kashmir,Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,1,0,1
Jammu & Kashmir,Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,0,0,0
Jammu & Kashmir,Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,0,0,0
Jammu & Kashmir,Arson (Section 435-436 & 438 IPC),2014,169,5,174
Jammu & Kashmir,"Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,656,49,705
Jammu & Kashmir,Grievous Hurt (Section 325 & 326 IPC),2014,656,49,705
Jammu & Kashmir,Acid attack (Section 326A IPC),2014,0,0,0
Jammu & Kashmir,Attempt to Acid Attack (Section 326B IPC),2014,0,0,0
Jammu & Kashmir,Dowry Deaths (Section 304-B IPC),2014,14,0,14
Jammu & Kashmir,Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,2497,84,2581
Jammu & Kashmir,Sexual Harassment (Section 354A IPC),2014,346,13,359
Jammu & Kashmir,Assault on women with intent to Disrobe (Section 354B IPC),2014,254,0,254
Jammu & Kashmir,Voyeurism (Section 354C IPC),2014,0,0,0
Jammu & Kashmir,Stalking (Section 354D IPC),2014,1,0,1
Jammu & Kashmir,Others,2014,1896,71,1967
Jammu & Kashmir,Insult to the Modesty of Women (Section 509 IPC),2014,276,7,283
Jammu & Kashmir,At Office premises,2014,0,0,0
Jammu & Kashmir,Places related to work other than Office,2014,7,0,7
Jammu & Kashmir,In Public Transport system,2014,7,1,8
Jammu & Kashmir,In Other Places,2014,262,6,268
Jammu & Kashmir,Cruelty by Husband or his Relatives (Section 498-A IPC),2014,879,106,985
Jammu & Kashmir,Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Jammu & Kashmir,Causing Death by Negligence (Section 304-A IPC),2014,705,0,705
Jammu & Kashmir,Deaths due to negligent driving/act,2014,695,0,695
Jammu & Kashmir,Deaths due to Other Causes,2014,10,0,10
Jammu & Kashmir,"Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,0,0,0
Jammu & Kashmir,Sedition (Section 124A IPC),2014,0,0,0
Jammu & Kashmir,Other offences against State,2014,0,0,0
Jammu & Kashmir,Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,0,0,0
Jammu & Kashmir,Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,0,0,0
Jammu & Kashmir,Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0
Jammu & Kashmir,Extortion (Section 384 - 389 IPC),2014,0,0,0
Jammu & Kashmir,Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0
Jammu & Kashmir,Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,4700,1,4701
Jammu & Kashmir,Human Trafficking (Section 370 & 370A IPC),2014,0,0,0
Jammu & Kashmir,Unnatural Offences U/s 377 IPC,2014,27,0,27
Jammu & Kashmir,Other IPC crimes,2014,13585,1186,14771
Jammu & Kashmir,Total Cognizable IPC crimes,2014,34569,2043,36612
Jharkhand,Murder (Section 302 IPC),2014,2752,50,2802
Jharkhand,Attempt to commit Murder (Section 307 IPC),2014,1038,24,1062
Jharkhand,Culpable Homicide not amounting to Murder (Section 304 IPC),2014,152,1,153
Jharkhand,Attempt to commit Culpable Homicide (Section 308 IPC),2014,3,0,3
Jharkhand,Rape (Section 376 IPC),2014,1578,5,1583
Jharkhand,Custodial Rape,2014,0,0,0
Jharkhand,Gang Rape,2014,0,0,0
Jharkhand,Other Rape,2014,0,0,0
Jharkhand,Rape other than Custodial,2014,1578,5,1583
Jharkhand,Gang Rape,2014,77,0,77
Jharkhand,Other Rape,2014,1501,5,1506
Jharkhand,Attempt to commit Rape (Section 376/511 IPC),2014,177,1,178
Jharkhand,"Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,1528,27,1555
Jharkhand,Kidnapping & Abduction (Section 363 IPC),2014,131,1,132
Jharkhand,Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,73,0,73
Jharkhand,Kidnapping for Ransom (Section 364A IPC),2014,70,0,70
Jharkhand,Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,719,25,744
Jharkhand,Other Kidnapping,2014,535,1,536
Jharkhand,"Dacoity (Section 395,396-398 IPC)",2014,514,0,514
Jharkhand,Dacoity with Murder (Section 396 IPC),2014,4,0,4
Jharkhand,Other Dacoity,2014,510,0,510
Jharkhand,Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,28,0,28
Jharkhand,"Robbery (Section 392 to 394, 397 and 398 IPC)",2014,987,0,987
Jharkhand,Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,878,3,881
Jharkhand,"Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,587,3,590
Jharkhand,"House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,291,0,291
Jharkhand,Theft (Section 379 to 382 IPC),2014,4456,62,4518
Jharkhand,Auto Theft,2014,1262,0,1262
Jharkhand,Other Thefts,2014,3194,62,3256
Jharkhand,"Unlawful Assembly (Section 143,144 & 145)",2014,173,2,175
Jharkhand,"Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,3428,264,3692
Jharkhand,Communal,2014,242,32,274
Jharkhand,Industrial,2014,0,0,0
Jharkhand,Political,2014,24,0,24
Jharkhand,Caste Conflict,2014,66,29,95
Jharkhand,SC/STs Vs. Non-SCs/STs,2014,2,0,2
Jharkhand,Other Caste Riots,2014,64,29,93
Jharkhand,Agrarian,2014,8,5,13
Jharkhand,Students,2014,0,0,0
Jharkhand,Sectarian,2014,0,0,0
Jharkhand,Other Riots,2014,3088,198,3286
Jharkhand,Criminal Breach of Trust (Section 406 to 409 IPC),2014,1042,10,1052
Jharkhand,Cheating (Section 420 IPC),2014,2824,22,2846
Jharkhand,"Forgery (Section 465, 468 & 471 IPC)",2014,298,2,300
Jharkhand,"Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,12,0,12
Jharkhand,"Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,0,0,0
Jharkhand,Counterfeiting Government Stamp (Section 255 IPC),2014,1,0,1
Jharkhand,Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,11,0,11
Jharkhand,Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,7,0,7
Jharkhand,Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,0,0,0
Jharkhand,Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,0,0,0
Jharkhand,Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,0,0,0
Jharkhand,Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,4,0,4
Jharkhand,Arson (Section 435-436 & 438 IPC),2014,268,0,268
Jharkhand,"Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,2462,128,2590
Jharkhand,Grievous Hurt (Section 325 & 326 IPC),2014,2459,128,2587
Jharkhand,Acid attack (Section 326A IPC),2014,1,0,1
Jharkhand,Attempt to Acid Attack (Section 326B IPC),2014,2,0,2
Jharkhand,Dowry Deaths (Section 304-B IPC),2014,467,31,498
Jharkhand,Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,603,0,603
Jharkhand,Sexual Harassment (Section 354A IPC),2014,234,0,234
Jharkhand,Assault on women with intent to Disrobe (Section 354B IPC),2014,84,0,84
Jharkhand,Voyeurism (Section 354C IPC),2014,0,0,0
Jharkhand,Stalking (Section 354D IPC),2014,4,0,4
Jharkhand,Others,2014,281,0,281
Jharkhand,Insult to the Modesty of Women (Section 509 IPC),2014,70,0,70
Jharkhand,At Office premises,2014,0,0,0
Jharkhand,Places related to work other than Office,2014,0,0,0
Jharkhand,In Public Transport system,2014,0,0,0
Jharkhand,In Other Places,2014,70,0,70
Jharkhand,Cruelty by Husband or his Relatives (Section 498-A IPC),2014,1537,218,1755
Jharkhand,Importation of Girls from Foreign Country (Section 366-B IPC),2014,2,0,2
Jharkhand,Causing Death by Negligence (Section 304-A IPC),2014,2615,0,2615
Jharkhand,Deaths due to negligent driving/act,2014,2545,0,2545
Jharkhand,Deaths due to Other Causes,2014,70,0,70
Jharkhand,"Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,18,0,18
Jharkhand,Sedition (Section 124A IPC),2014,18,0,18
Jharkhand,Other offences against State,2014,0,0,0
Jharkhand,Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,0,0,0
Jharkhand,Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,0,0,0
Jharkhand,Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0
Jharkhand,Extortion (Section 384 - 389 IPC),2014,468,2,470
Jharkhand,Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0
Jharkhand,Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,2228,5,2233
Jharkhand,Human Trafficking (Section 370 & 370A IPC),2014,108,8,116
Jharkhand,Unnatural Offences U/s 377 IPC,2014,12,0,12
Jharkhand,Other IPC crimes,2014,23613,1366,24979
Jharkhand,Total Cognizable IPC crimes,2014,56339,2231,58570
Karnataka,Murder (Section 302 IPC),2014,3110,330,3440
Karnataka,Attempt to commit Murder (Section 307 IPC),2014,5869,420,6289
Karnataka,Culpable Homicide not amounting to Murder (Section 304 IPC),2014,122,4,126
Karnataka,Attempt to commit Culpable Homicide (Section 308 IPC),2014,157,3,160
Karnataka,Rape (Section 376 IPC),2014,1888,62,1950
Karnataka,Custodial Rape,2014,0,0,0
Karnataka,Gang Rape,2014,0,0,0
Karnataka,Other Rape,2014,0,0,0
Karnataka,Rape other than Custodial,2014,1888,62,1950
Karnataka,Gang Rape,2014,75,0,75
Karnataka,Other Rape,2014,1813,62,1875
Karnataka,Attempt to commit Rape (Section 376/511 IPC),2014,27,0,27
Karnataka,"Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,1920,45,1965
Karnataka,Kidnapping & Abduction (Section 363 IPC),2014,534,9,543
Karnataka,Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Karnataka,Kidnapping for Ransom (Section 364A IPC),2014,96,6,102
Karnataka,Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,400,9,409
Karnataka,Other Kidnapping,2014,890,21,911
Karnataka,"Dacoity (Section 395,396-398 IPC)",2014,877,12,889
Karnataka,Dacoity with Murder (Section 396 IPC),2014,0,0,0
Karnataka,Other Dacoity,2014,877,12,889
Karnataka,Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,1932,1,1933
Karnataka,"Robbery (Section 392 to 394, 397 and 398 IPC)",2014,3082,36,3118
Karnataka,Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,6259,50,6309
Karnataka,"Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,4535,37,4572
Karnataka,"House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,1724,13,1737
Karnataka,Theft (Section 379 to 382 IPC),2014,14299,246,14545
Karnataka,Auto Theft,2014,6005,8,6013
Karnataka,Other Thefts,2014,8294,238,8532
Karnataka,"Unlawful Assembly (Section 143,144 & 145)",2014,164,61,225
Karnataka,"Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,23457,2254,25711
Karnataka,Communal,2014,351,0,351
Karnataka,Industrial,2014,66,0,66
Karnataka,Political,2014,228,0,228
Karnataka,Caste Conflict,2014,277,0,277
Karnataka,SC/STs Vs. Non-SCs/STs,2014,0,0,0
Karnataka,Other Caste Riots,2014,277,0,277
Karnataka,Agrarian,2014,233,23,256
Karnataka,Students,2014,15,0,15
Karnataka,Sectarian,2014,0,0,0
Karnataka,Other Riots,2014,22287,2231,24518
Karnataka,Criminal Breach of Trust (Section 406 to 409 IPC),2014,710,15,725
Karnataka,Cheating (Section 420 IPC),2014,7553,466,8019
Karnataka,"Forgery (Section 465, 468 & 471 IPC)",2014,299,10,309
Karnataka,"Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,93,1,94
Karnataka,"Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,0,0,0
Karnataka,Counterfeiting Government Stamp (Section 255 IPC),2014,1,0,1
Karnataka,Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,92,1,93
Karnataka,Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,64,0,64
Karnataka,Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,17,1,18
Karnataka,Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,10,0,10
Karnataka,Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,0,0,0
Karnataka,Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,1,0,1
Karnataka,Arson (Section 435-436 & 438 IPC),2014,1401,15,1416
Karnataka,"Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,4245,304,4549
Karnataka,Grievous Hurt (Section 325 & 326 IPC),2014,4238,304,4542
Karnataka,Acid attack (Section 326A IPC),2014,5,0,5
Karnataka,Attempt to Acid Attack (Section 326B IPC),2014,2,0,2
Karnataka,Dowry Deaths (Section 304-B IPC),2014,480,195,675
Karnataka,Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,7694,793,8487
Karnataka,Sexual Harassment (Section 354A IPC),2014,324,32,356
Karnataka,Assault on women with intent to Disrobe (Section 354B IPC),2014,230,42,272
Karnataka,Voyeurism (Section 354C IPC),2014,10,0,10
Karnataka,Stalking (Section 354D IPC),2014,71,1,72
Karnataka,Others,2014,7059,718,7777
Karnataka,Insult to the Modesty of Women (Section 509 IPC),2014,190,0,190
Karnataka,At Office premises,2014,5,0,5
Karnataka,Places related to work other than Office,2014,12,0,12
Karnataka,In Public Transport system,2014,2,0,2
Karnataka,In Other Places,2014,171,0,171
Karnataka,Cruelty by Husband or his Relatives (Section 498-A IPC),2014,4438,1085,5523
Karnataka,Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Karnataka,Causing Death by Negligence (Section 304-A IPC),2014,9858,39,9897
Karnataka,Deaths due to negligent driving/act,2014,9158,21,9179
Karnataka,Deaths due to Other Causes,2014,700,18,718
Karnataka,"Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,0,0,0
Karnataka,Sedition (Section 124A IPC),2014,0,0,0
Karnataka,Other offences against State,2014,0,0,0
Karnataka,Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,62,1,63
Karnataka,Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,62,1,63
Karnataka,Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0
Karnataka,Extortion (Section 384 - 389 IPC),2014,202,16,218
Karnataka,Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0
Karnataka,Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,33220,86,33306
Karnataka,Human Trafficking (Section 370 & 370A IPC),2014,186,6,192
Karnataka,Unnatural Offences U/s 377 IPC,2014,14,0,14
Karnataka,Other IPC crimes,2014,60695,4320,65015
Karnataka,Total Cognizable IPC crimes,2014,194503,10876,205379
Kerala,Murder (Section 302 IPC),2014,636,38,674
Kerala,Attempt to commit Murder (Section 307 IPC),2014,1670,25,1695
Kerala,Culpable Homicide not amounting to Murder (Section 304 IPC),2014,145,8,153
Kerala,Attempt to commit Culpable Homicide (Section 308 IPC),2014,2146,17,2163
Kerala,Rape (Section 376 IPC),2014,1417,25,1442
Kerala,Custodial Rape,2014,0,0,0
Kerala,Gang Rape,2014,0,0,0
Kerala,Other Rape,2014,0,0,0
Kerala,Rape other than Custodial,2014,1417,25,1442
Kerala,Gang Rape,2014,47,0,47
Kerala,Other Rape,2014,1370,25,1395
Kerala,Attempt to commit Rape (Section 376/511 IPC),2014,34,0,34
Kerala,"Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,339,8,347
Kerala,Kidnapping & Abduction (Section 363 IPC),2014,49,1,50
Kerala,Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Kerala,Kidnapping for Ransom (Section 364A IPC),2014,21,0,21
Kerala,Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,106,1,107
Kerala,Other Kidnapping,2014,163,6,169
Kerala,"Dacoity (Section 395,396-398 IPC)",2014,231,11,242
Kerala,Dacoity with Murder (Section 396 IPC),2014,6,0,6
Kerala,Other Dacoity,2014,225,11,236
Kerala,Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,310,0,310
Kerala,"Robbery (Section 392 to 394, 397 and 398 IPC)",2014,888,44,932
Kerala,Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,2585,55,2640
Kerala,"Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,1927,22,1949
Kerala,"House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,658,33,691
Kerala,Theft (Section 379 to 382 IPC),2014,3729,269,3998
Kerala,Auto Theft,2014,1154,5,1159
Kerala,Other Thefts,2014,2575,264,2839
Kerala,"Unlawful Assembly (Section 143,144 & 145)",2014,5408,284,5692
Kerala,"Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,26594,763,27357
Kerala,Communal,2014,582,0,582
Kerala,Industrial,2014,0,0,0
Kerala,Political,2014,3659,17,3676
Kerala,Caste Conflict,2014,0,0,0
Kerala,SC/STs Vs. Non-SCs/STs,2014,0,0,0
Kerala,Other Caste Riots,2014,0,0,0
Kerala,Agrarian,2014,0,0,0
Kerala,Students,2014,821,2,823
Kerala,Sectarian,2014,0,0,0
Kerala,Other Riots,2014,21532,744,22276
Kerala,Criminal Breach of Trust (Section 406 to 409 IPC),2014,423,17,440
Kerala,Cheating (Section 420 IPC),2014,6266,300,6566
Kerala,"Forgery (Section 465, 468 & 471 IPC)",2014,111,5,116
Kerala,"Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,62,1,63
Kerala,"Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,0,0,0
Kerala,Counterfeiting Government Stamp (Section 255 IPC),2014,0,0,0
Kerala,Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,62,1,63
Kerala,Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,35,0,35
Kerala,Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,17,1,18
Kerala,Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,8,0,8
Kerala,Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,0,0,0
Kerala,Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,2,0,2
Kerala,Arson (Section 435-436 & 438 IPC),2014,539,0,539
Kerala,"Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,2343,33,2376
Kerala,Grievous Hurt (Section 325 & 326 IPC),2014,2340,32,2372
Kerala,Acid attack (Section 326A IPC),2014,3,1,4
Kerala,Attempt to Acid Attack (Section 326B IPC),2014,0,0,0
Kerala,Dowry Deaths (Section 304-B IPC),2014,42,14,56
Kerala,Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,4663,65,4728
Kerala,Sexual Harassment (Section 354A IPC),2014,1073,1,1074
Kerala,Assault on women with intent to Disrobe (Section 354B IPC),2014,395,3,398
Kerala,Voyeurism (Section 354C IPC),2014,21,0,21
Kerala,Stalking (Section 354D IPC),2014,37,0,37
Kerala,Others,2014,3137,61,3198
Kerala,Insult to the Modesty of Women (Section 509 IPC),2014,298,1,299
Kerala,At Office premises,2014,6,0,6
Kerala,Places related to work other than Office,2014,3,0,3
Kerala,In Public Transport system,2014,12,0,12
Kerala,In Other Places,2014,277,1,278
Kerala,Cruelty by Husband or his Relatives (Section 498-A IPC),2014,5549,1269,6818
Kerala,Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Kerala,Causing Death by Negligence (Section 304-A IPC),2014,3486,11,3497
Kerala,Deaths due to negligent driving/act,2014,3407,9,3416
Kerala,Deaths due to Other Causes,2014,79,2,81
Kerala,"Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,8,0,8
Kerala,Sedition (Section 124A IPC),2014,4,0,4
Kerala,Other offences against State,2014,4,0,4
Kerala,Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,89,1,90
Kerala,Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,84,1,85
Kerala,Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,5,0,5
Kerala,Extortion (Section 384 - 389 IPC),2014,57,2,59
Kerala,Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0
Kerala,Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,110757,263,111020
Kerala,Human Trafficking (Section 370 & 370A IPC),2014,13,3,16
Kerala,Unnatural Offences U/s 377 IPC,2014,129,9,138
Kerala,Other IPC crimes,2014,63391,1170,64561
Kerala,Total Cognizable IPC crimes,2014,244358,4711,249069
Madhya Pradesh,Murder (Section 302 IPC),2014,4321,316,4637
Madhya Pradesh,Attempt to commit Murder (Section 307 IPC),2014,6344,234,6578
Madhya Pradesh,Culpable Homicide not amounting to Murder (Section 304 IPC),2014,268,8,276
Madhya Pradesh,Attempt to commit Culpable Homicide (Section 308 IPC),2014,228,7,235
Madhya Pradesh,Rape (Section 376 IPC),2014,6518,201,6719
Madhya Pradesh,Custodial Rape,2014,0,0,0
Madhya Pradesh,Gang Rape,2014,0,0,0
Madhya Pradesh,Other Rape,2014,0,0,0
Madhya Pradesh,Rape other than Custodial,2014,6518,201,6719
Madhya Pradesh,Gang Rape,2014,668,18,686
Madhya Pradesh,Other Rape,2014,5850,183,6033
Madhya Pradesh,Attempt to commit Rape (Section 376/511 IPC),2014,63,0,63
Madhya Pradesh,"Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,4225,126,4351
